# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
  680   3.4911  0.3892       NaN     NaN       NaN     NaN    2.1250  0.8495    1.0532  0.6055
  690   3.4923  0.3995       NaN     NaN       NaN     NaN    2.1255  0.8496    1.0575  0.6140
  700   3.4939  0.4102       NaN     NaN       NaN     NaN    2.1251  0.8496    1.0611  0.6219
  710   3.4956  0.4205       NaN     NaN       NaN     NaN    2.1248  0.8501    1.0650  0.6302
  720   3.4964  0.4309       NaN     NaN       NaN     NaN    2.1250  0.8498    1.0691  0.6381
  730   3.4975  0.4415       NaN     NaN       NaN     NaN    2.1246  0.8505    1.0730  0.6451
  740   3.4989  0.4521       NaN     NaN       NaN     NaN    2.1246  0.8496    1.0775  0.6533
  750   3.5007  0.4616       NaN     NaN       NaN     NaN    2.1255  0.8495    1.0812  0.6618
  760   3.5012  0.4727       NaN     NaN       NaN     NaN    2.1252  0.8498    1.0851  0.6693
  770   3.5027  0.4827       NaN     NaN       NaN     NaN    2.1245  0.8505    1.0894  0.6769
  780   3.5036  0.4933       NaN     NaN       NaN     NaN    2.1252  0.8499    1.0930  0.6853
  790   3.5044  0.5037       NaN     NaN       NaN     NaN    2.1249  0.8496    1.0973  0.6928
  800   3.5054  0.5136       NaN     NaN       NaN     NaN    2.1252  0.8502    1.1012  0.7005
  810   3.5068  0.5235       NaN     NaN       NaN     NaN    2.1253  0.8503    1.1062  0.7079
  820   3.5074  0.5345       NaN     NaN       NaN     NaN    2.1246  0.8497    1.1098  0.7160
  830   3.5086  0.5443       NaN     NaN       NaN     NaN    2.1248  0.8504    1.1143  0.7233
  840   3.5087  0.5539       NaN     NaN       NaN     NaN    2.1247  0.8504    1.1189  0.7311
  850   3.5093  0.5649       NaN     NaN       NaN     NaN    2.1252  0.8501    1.1226  0.7388
  860   3.5099  0.5743       NaN     NaN       NaN     NaN    2.1250  0.8498    1.1272  0.7465
  870   3.5102  0.5847       NaN     NaN       NaN     NaN    2.1245  0.8499    1.1314  0.7540
  880   3.5108  0.5944       NaN     NaN       NaN     NaN    2.1251  0.8501    1.1361  0.7619
  890   3.5116  0.6053       NaN     NaN       NaN     NaN    2.1247  0.8499    1.1402  0.7685
  900   3.5122  0.6149       NaN     NaN       NaN     NaN    2.1247  0.8502    1.1448  0.7762
  910   3.5123  0.6250       NaN     NaN       NaN     NaN    2.1253  0.8498    1.1493  0.7836
  920   3.5130  0.6353       NaN     NaN       NaN     NaN    2.1253  0.8498    1.1539  0.7916
  930   3.5133  0.6447       NaN     NaN       NaN     NaN    2.1253  0.8496    1.1582  0.7992
  940   3.5131  0.6545       NaN     NaN       NaN     NaN    2.1255  0.8499    1.1623  0.8063
  950   3.5134  0.6647       NaN     NaN       NaN     NaN    2.1246  0.8500    1.1669  0.8131
  960   3.5133  0.6747       NaN     NaN       NaN     NaN    2.1245  0.8497    1.1714  0.8213
  970   3.5136  0.6843   -0.8432  2.8480   -0.8424  3.2720    2.1249  0.8497    1.1758  0.8284
  980   3.5129  0.6942   -0.8115  2.8483   -0.8099  3.2721    2.1246  0.8496    1.1807  0.8357
  990   3.5129  0.7045   -0.7800  2.8484   -0.7767  3.2720    2.1253  0.8498    1.1858  0.8423
 1000   3.5132  0.7143   -0.7485  2.8497   -0.7444  3.2722    2.1248  0.8495    1.1899  0.8499
 1010   3.5132  0.7243   -0.7171  2.8497   -0.7122  3.2716    2.1249  0.8502    1.1951  0.8574
