# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
 1640   3.1531  1.0779       NaN     NaN       NaN     NaN    2.1248  0.8497    1.3127  1.3743
 1650   3.1490  1.0945       NaN     NaN       NaN     NaN    2.1255  0.8498    1.3149  1.3823
 1660   3.1439  1.1093       NaN     NaN       NaN     NaN    2.1254  0.8505    1.3175  1.3897
 1670   3.1384  1.1249       NaN     NaN       NaN     NaN    2.1253  0.8497    1.3202  1.3974
 1680   3.1332  1.1409       NaN     NaN       NaN     NaN    2.1252  0.8498    1.3220  1.4047
 1690   3.1285  1.1558       NaN     NaN       NaN     NaN    2.1253  0.8496    1.3246  1.4119
 1700   3.1226  1.1717       NaN     NaN       NaN     NaN    2.1251  0.8497    1.3278  1.4199
 1710   3.1178  1.1865       NaN     NaN       NaN     NaN    2.1246  0.8499    1.3296  1.4264
 1720   3.1130  1.2022       NaN     NaN       NaN     NaN    2.1250  0.8497    1.3331  1.4337
 1730   3.1073  1.2175       NaN     NaN       NaN     NaN    2.1250  0.8497    1.3360  1.4414
 1740   3.1019  1.2326       NaN     NaN       NaN     NaN    2.1250  0.8503    1.3382  1.4481
 1750   3.0968  1.2481       NaN     NaN       NaN     NaN    2.1250  0.8503    1.3417  1.4556
 1760   3.0916  1.2630       NaN     NaN       NaN     NaN    2.1247  0.8496    1.3444  1.4625
 1770   3.0863  1.2788       NaN     NaN       NaN     NaN    2.1255  0.8501    1.3478  1.4697
 1780   3.0812  1.2933       NaN     NaN       NaN     NaN    2.1255  0.8502    1.3508  1.4765
 1790   3.0755  1.3091       NaN     NaN       NaN     NaN    2.1247  0.8504    1.3541  1.4835
 1800   3.0704  1.3240       NaN     NaN       NaN     NaN    2.1248  0.8499    1.3572  1.4907
 1810   3.0654  1.3391       NaN     NaN       NaN     NaN    2.1251  0.8504    1.3609  1.4972
 1820   3.0600  1.3534       NaN     NaN       NaN     NaN    2.1255  0.8500    1.3647  1.5042
 1830   3.0542  1.3682       NaN     NaN       NaN     NaN    2.1254  0.8500    1.3681  1.5106
 1840   3.0486  1.3838       NaN     NaN       NaN     NaN    2.1253  0.8504    1.3713  1.5175
 1850   3.0434  1.3987       NaN     NaN       NaN     NaN    2.1247  0.8502    1.3754  1.5246
 1860   3.0374  1.4136       NaN     NaN       NaN     NaN    2.1248  0.8504    1.3791  1.5305
 1870   3.0320  1.4278       NaN     NaN       NaN     NaN    2.1254  0.8495    1.3832  1.5375
 1880   3.0267  1.4430       NaN     NaN       NaN     NaN    2.1249  0.8499    1.3870  1.5438
 1890   3.0215  1.4579       NaN     NaN       NaN     NaN    2.1248  0.8502    1.3919  1.5495
 1900   3.0154  1.4723       NaN     NaN       NaN     NaN    2.1248  0.8500    1.3954  1.5565
 1910   3.0097  1.4871       NaN     NaN       NaN     NaN    2.1247  0.8500    1.3997  1.5619
 1920   3.0043  1.5017       NaN     NaN       NaN     NaN    2.1254  0.8502    1.4050  1.5680
 1930   2.9984  1.5162       NaN     NaN       NaN     NaN    2.1250  0.8502    1.4095  1.5748
 1940   2.9926  1.5311       NaN     NaN       NaN     NaN    2.1251  0.8499    1.4139  1.5808
 1950   2.9869  1.5449       NaN     NaN       NaN     NaN    2.1251  0.8498    1.4185  1.5868
 1960   2.9810  1.5594       NaN     NaN       NaN     NaN    2.1246  0.8504    1.4242  1.5923
 1970   2.9760  1.5746       NaN     NaN       NaN     NaN    2.1249  0.8496    1.4292  1.5979
 1980   2.9694  1.5881       NaN     NaN       NaN     NaN    2.1245  0.8503    1.4338  1.6037
 1990   2.9638  1.6034       NaN     NaN       NaN     NaN    2.1247  0.8501    1.4394  1.6095
 2000   2.9578  1.6176       NaN     NaN       NaN     NaN    2.1250  0.8500    1.4449  1.6152
 2010   2.9521  1.6318       NaN     NaN       NaN     NaN    2.1251  0.8501    1.4502  1.6202
 2020   2.9468  1.6458       NaN     NaN       NaN     NaN    2.1247  0.8502    1.4564  1.6255
 2030   2.9402  1.6598       NaN     NaN       NaN     NaN    2.1245  0.8503    1.4616  1.6314
 2040   2.9350  1.6747       NaN     NaN       NaN     NaN    2.1248  0.8502    1.4683  1.6364
 2050   2.9283  1.6889       NaN     NaN       NaN     NaN    2.1254  0.8498    1.4740  1.6412
 2060   2.9229  1.7029       NaN     NaN       NaN     NaN    2.1247  0.8498    1.4806  1.6456
 2070   2.9164  1.7163       NaN     NaN       NaN     NaN    2.1245  0.8496    1.4864  1.6500
 2080   2.9109  1.7307       NaN     NaN       NaN     NaN    2.1251  0.8504    1.4926  1.6556
 2090   2.9050  1.7445       NaN     NaN       NaN     NaN    2.1249  0.8502    1.4994  1.6600
 2100   2.8988  1.7585       NaN     NaN       NaN     NaN    2.1252  0.8500    1.5057  1.6639
 2110   2.8928  1.7726       NaN     NaN       NaN     NaN    2.1248  0.8505    1.5122  1.6682
 2120   2.8862  1.7865       NaN     NaN       NaN     NaN    2.1253  0.8500    1.5195  1.6719
 2130   2.8803  1.8000       NaN     NaN       NaN     NaN    2.1253  0.8503    1.5263  1.6764
 2140   2.8740  1.8144       NaN     NaN       NaN     NaN    2.1251  0.8495    1.5334  1.6807
 2150   2.8682  1.8284       NaN     NaN       NaN     NaN    2.1255  0.8501    1.5400  1.6838
 2160   2.8616  1.8413       NaN     NaN       NaN     NaN    2.1252  0.8501    1.5469  1.6880
 2170   2.8556  1.8558       NaN     NaN       NaN     NaN    2.1252  0.8497    1.5548  1.6916
 2180   2.8491  1.8694       NaN     NaN       NaN     NaN    2.1251  0.8504    1.5623  1.6950
 2190   2.8429  1.8831       NaN     NaN       NaN     NaN    2.1252  0.8501    1.5699  1.6987
 2200   2.8371  1.8965       NaN     NaN       NaN     NaN    2.1255  0.8501    1.5768  1.7022
 2210   2.8308  1.9095       NaN     NaN       NaN     NaN    2.1250  0.8498    1.5845  1.7054
 2220   2.8243  1.9235       NaN     NaN       NaN     NaN    2.1251  0.8497    1.5923  1.7084
 2230   2.8179  1.9367       NaN     NaN       NaN     NaN    2.1249  0.8499    1.5998  1.7120
 2240   2.8118  1.9501       NaN     NaN       NaN     NaN    2.1250  0.8505    1.6079  1.7154
 2250   2.8051  1.9639       NaN     NaN       NaN     NaN    2.1248  0.8499    1.6152  1.7181
 2260   2.7987  1.9772   -0.8475  2.2096       NaN     NaN    2.1248  0.8505    1.6238  1.7213
 2270   2.7918  1.9906   -0.8322  2.2093       NaN     NaN    2.1245  0.8500    1.6316  1.7241
 2280   2.7861  2.0044   -0.8181  2.2084       NaN     NaN    2.1249  0.8500    1.6401  1.7264
 2290   2.7790  2.0167   -0.8032  2.2080       NaN     NaN    2.1255  0.8495    1.6475  1.7298
 2300   2.7724  2.0306   -0.7879  2.2076       NaN     NaN    2.1253  0.8504    1.6559  1.7326
 2310   2.7659  2.0436   -0.7736  2.2070       NaN     NaN    2.1246  0.8500    1.6646  1.7352
 2320   2.7595  2.0572   -0.7592  2.2064       NaN     NaN    2.1248  0.8497    1.6730  1.7373
 2330   2.7527  2.0696   -0.7449  2.2057       NaN     NaN    2.1254  0.8499    1.6815  1.7399
