# Experimental sample (obstacle trajectories) - time in milliseconds, distance in meters
# (NaN measurements indicate the corresponding object is outside the working space)
#   t | obj1_x  obj1_y  | obj2_x  obj2_y  | obj3_x  obj3_y  | obj4_x  obj4_y | robot_x robot_y
 5400      NaN     NaN    3.0054  2.2087       NaN     NaN    2.1245  0.8501    4.0585  3.7188
 5410      NaN     NaN    3.0229  2.2041       NaN     NaN    2.1249  0.8503    4.0601  3.7206
 5420      NaN     NaN    3.0406  2.1994       NaN     NaN    2.1254  0.8499    4.0614  3.7219
 5430      NaN     NaN    3.0582  2.1944       NaN     NaN    2.1253  0.8503    4.0635  3.7231
 5440      NaN     NaN    3.0756  2.1907       NaN     NaN    2.1251  0.8502    4.0645  3.7245
 5450      NaN     NaN    3.0928  2.1859       NaN     NaN    2.1248  0.8503    4.0663  3.7259
 5460      NaN     NaN    3.1101  2.1810       NaN     NaN    2.1252  0.8500    4.0675  3.7279
 5470      NaN     NaN    3.1281  2.1769       NaN     NaN    2.1251  0.8504    4.0690  3.7292
 5480      NaN     NaN    3.1458  2.1723       NaN     NaN    2.1253  0.8504    4.0703  3.7306
 5490      NaN     NaN    3.1629  2.1672       NaN     NaN    2.1251  0.8504    4.0718  3.7321
 5500      NaN     NaN    3.1804  2.1631       NaN     NaN    2.1252  0.8501    4.0728  3.7330
 5510      NaN     NaN    3.1977  2.1581       NaN     NaN    2.1255  0.8498    4.0747  3.7351
 5520      NaN     NaN    3.2153  2.1539       NaN     NaN    2.1250  0.8501    4.0763  3.7362
 5530      NaN     NaN    3.2334  2.1485       NaN     NaN    2.1247  0.8497    4.0772  3.7370
 5540      NaN     NaN    3.2509  2.1442       NaN     NaN    2.1249  0.8498    4.0786  3.7389
 5550      NaN     NaN    3.2681  2.1399       NaN     NaN    2.1254  0.8504    4.0807  3.7404
 5560      NaN     NaN    3.2867  2.1354       NaN     NaN    2.1247  0.8501    4.0813  3.7413
 5570      NaN     NaN    3.3041  2.1303       NaN     NaN    2.1255  0.8503    4.0835  3.7436
 5580      NaN     NaN    3.3217  2.1255       NaN     NaN    2.1249  0.8502    4.0846  3.7448
 5590      NaN     NaN    3.3390  2.1215       NaN     NaN    2.1254  0.8503    4.0860  3.7462
 5600      NaN     NaN    3.3568  2.1162       NaN     NaN    2.1253  0.8501    4.0877  3.7471
 5610      NaN     NaN    3.3745  2.1117       NaN     NaN    2.1255  0.8498    4.0886  3.7482
 5620      NaN     NaN    3.3921  2.1074       NaN     NaN    2.1253  0.8497    4.0901  3.7500
 5630      NaN     NaN    3.4102  2.1030       NaN     NaN    2.1254  0.8500    4.0911  3.7517
 5640      NaN     NaN    3.4273  2.0985       NaN     NaN    2.1247  0.8497    4.0927  3.7524
 5650      NaN     NaN    3.4449  2.0938       NaN     NaN    2.1250  0.8496    4.0940  3.7544
 5660      NaN     NaN    3.4630  2.0891       NaN     NaN    2.1245  0.8498    4.0949  3.7552
 5670      NaN     NaN    3.4807  2.0839       NaN     NaN    2.1249  0.8500    4.0966  3.7568
 5680      NaN     NaN    3.4984  2.0798       NaN     NaN    2.1251  0.8498    4.0976  3.7578
 5690      NaN     NaN    3.5159  2.0751       NaN     NaN    2.1247  0.8503    4.0991  3.7598
 5700      NaN     NaN    3.5330  2.0706       NaN     NaN    2.1245  0.8499    4.1007  3.7602
 5710      NaN     NaN    3.5503  2.0659       NaN     NaN    2.1247  0.8501    4.1022  3.7618
 5720      NaN     NaN    3.5684  2.0616       NaN     NaN    2.1252  0.8497    4.1037  3.7629
 5730      NaN     NaN    3.5853  2.0573       NaN     NaN    2.1252  0.8498    4.1048  3.7642
 5740      NaN     NaN    3.6031  2.0531       NaN     NaN    2.1253  0.8503    4.1059  3.7662
 5750      NaN     NaN    3.6205  2.0478       NaN     NaN    2.1253  0.8504    4.1072  3.7672
 5760      NaN     NaN    3.6385  2.0437       NaN     NaN    2.1246  0.8499    4.1087  3.7681
 5770      NaN     NaN    3.6553  2.0391       NaN     NaN    2.1253  0.8503    4.1102  3.7694
 5780      NaN     NaN    3.6733  2.0354       NaN     NaN    2.1245  0.8500    4.1114  3.7713
 5790      NaN     NaN    3.6898  2.0307       NaN     NaN    2.1250  0.8497    4.1127  3.7724
 5800      NaN     NaN    3.7071  2.0268       NaN     NaN    2.1255  0.8496    4.1137  3.7734
 5810      NaN     NaN    3.7247  2.0220    5.0970  3.8256    2.1254  0.8500    4.1148  3.7746
 5820      NaN     NaN    3.7421  2.0180    5.0873  3.8275    2.1246  0.8497    4.1158  3.7759
 5830      NaN     NaN    3.7591  2.0142    5.0783  3.8299    2.1251  0.8504    4.1173  3.7770
 5840      NaN     NaN    3.7770  2.0101    5.0695  3.8320    2.1254  0.8502    4.1183  3.7784
 5850      NaN     NaN    3.7941  2.0059    5.0602  3.8336    2.1249  0.8503    4.1199  3.7794
 5860      NaN     NaN    3.8111  2.0011    5.0509  3.8355    2.1250  0.8501    4.1210  3.7807
 5870      NaN     NaN    3.8280  1.9974    5.0414  3.8369    2.1252  0.8499    4.1226  3.7821
 5880      NaN     NaN    3.8447  1.9933    5.0319  3.8388    2.1251  0.8496    4.1232  3.7839
 5890      NaN     NaN    3.8621  1.9895    5.0231  3.8401    2.1252  0.8502    4.1243  3.7847
 5900      NaN     NaN    3.8787  1.9854    5.0130  3.8416    2.1247  0.8496    4.1256  3.7857
 5910      NaN     NaN    3.8960  1.9818    5.0040  3.8439    2.1254  0.8503    4.1276  3.7876
 5920      NaN     NaN    3.9128  1.9783    4.9945  3.8454    2.1253  0.8496    4.1282  3.7884
 5930      NaN     NaN    3.9289  1.9742    4.9851  3.8469    2.1246  0.8502    4.1294  3.7896
 5940      NaN     NaN    3.9460  1.9706    4.9749  3.8478    2.1248  0.8495    4.1312  3.7910
 5950      NaN     NaN    3.9628  1.9669    4.9657  3.8494    2.1248  0.8500    4.1319  3.7915
 5960      NaN     NaN    3.9790  1.9632    4.9563  3.8503    2.1250  0.8495    4.1336  3.7932
 5970      NaN     NaN    3.9963  1.9604    4.9465  3.8522    2.1245  0.8496    4.1344  3.7942
 5980      NaN     NaN    4.0124  1.9568    4.9363  3.8528    2.1249  0.8503    4.1357  3.7950
 5990      NaN     NaN    4.0287  1.9528    4.9274  3.8546    2.1254  0.8504    4.1370  3.7966
 6000      NaN     NaN    4.0453  1.9495    4.9176  3.8554    2.1252  0.8498    4.1378  3.7978
 6010      NaN     NaN    4.0618  1.9460    4.9074  3.8564    2.1251  0.8496    4.1386  3.7990
 6020      NaN     NaN    4.0772  1.9433    4.8977  3.8576    2.1252  0.8505    4.1405  3.7998
 6030      NaN     NaN    4.0937  1.9396    4.8877  3.8584    2.1246  0.8503    4.1412  3.8015
 6040      NaN     NaN    4.1104  1.9374    4.8775  3.8594    2.1245  0.8504    4.1427  3.8022
 6050      NaN     NaN    4.1262  1.9339    4.8679  3.8600    2.1246  0.8504    4.1439  3.8032
 6060      NaN     NaN    4.1419  1.9315    4.8580  3.8609    2.1249  0.8496    4.1447  3.8047
 6070      NaN     NaN    4.1575  1.9277    4.8475  3.8618    2.1252  0.8495    4.1461  3.8054
 6080      NaN     NaN    4.1740  1.9254    4.8375  3.8622    2.1246  0.8504    4.1468  3.8070
 6090      NaN     NaN    4.1892  1.9221    4.8278  3.8627    2.1246  0.8501    4.1476  3.8084
 6100      NaN     NaN    4.2047  1.9203    4.8179  3.8631    2.1246  0.8504    4.1486  3.8086
 6110      NaN     NaN    4.2202  1.9170    4.8072  3.8635    2.1251  0.8505    4.1498  3.8097
 6120      NaN     NaN    4.2357  1.9144    4.7967  3.8647    2.1245  0.8500    4.1517  3.8118
 6130      NaN     NaN    4.2515  1.9127    4.7872  3.8648    2.1247  0.8500    4.1519  3.8127
 6140      NaN     NaN    4.2672  1.9096    4.7761  3.8651    2.1255  0.8496    4.1537  3.8131
 6150      NaN     NaN    4.2822  1.9074    4.7666  3.8655    2.1250  0.8503    4.1549  3.8146
 6160      NaN     NaN    4.2969  1.9055    4.7560  3.8655    2.1248  0.8501    4.1561  3.8158
 6170      NaN     NaN    4.3121  1.9031    4.7459  3.8664    2.1254  0.8500    4.1570  3.8165
 6180      NaN     NaN    4.3279  1.9013    4.7349  3.8659    2.1253  0.8496    4.1581  3.8172
 6190      NaN     NaN    4.3423  1.8996    4.7242  3.8660    2.1246  0.8502    4.1584  3.8188
 6200      NaN     NaN    4.3575  1.8972    4.7137  3.8660    2.1254  0.8503    4.1595  3.8202
 6210      NaN     NaN    4.3721  1.8952    4.7033  3.8669    2.1247  0.8503    4.1613  3.8211
 6220      NaN     NaN    4.3869  1.8936    4.6926  3.8668    2.1254  0.8502    4.1617  3.8218
 6230      NaN     NaN    4.4018  1.8915    4.6824  3.8668    2.1253  0.8499    4.1632  3.8229
 6240      NaN     NaN    4.4161  1.8903    4.6717  3.8659    2.1247  0.8500    4.1644  3.8243
 6250      NaN     NaN    4.4311  1.8890    4.6607  3.8656    2.1250  0.8501    4.1651  3.8251
 6260      NaN     NaN    4.4458  1.8878    4.6507  3.8660    2.1251  0.8496    4.1661  3.8260
 6270      NaN     NaN    4.4604  1.8860    4.6393  3.8651    2.1251  0.8495    4.1671  3.8274
 6280      NaN     NaN    4.4739  1.8845    4.6290  3.8648    2.1251  0.8503    4.1680  3.8283
 6290      NaN     NaN    4.4891  1.8835    4.6181  3.8651    2.1248  0.8500    4.1692  3.8293
 6300      NaN     NaN    4.5025  1.8820    4.6073  3.8644    2.1252  0.8496    4.1704  3.8305
 6310      NaN     NaN    4.5171  1.8815    4.5964  3.8636    2.1254  0.8504    4.1708  3.8307
 6320      NaN     NaN    4.5310  1.8796    4.5860  3.8631    2.1251  0.8496    4.1719  3.8317
 6330      NaN     NaN    4.5456  1.8787    4.5750  3.8623    2.1248  0.8505    4.1728  3.8327
 6340      NaN     NaN    4.5596  1.8780    4.5632  3.8622    2.1249  0.8505    4.1739  3.8336
 6350      NaN     NaN    4.5730  1.8774    4.5524  3.8614    2.1245  0.8504    4.1752  3.8350
 6360      NaN     NaN    4.5865  1.8764    4.5414  3.8610    2.1249  0.8504    4.1759  3.8358
 6370      NaN     NaN    4.6002  1.8760    4.5306  3.8595    2.1247  0.8501    4.1771  3.8370
 6380      NaN     NaN    4.6141  1.8750    4.5191  3.8588    2.1251  0.8495    4.1782  3.8381
 6390      NaN     NaN    4.6280  1.8745    4.5080  3.8584    2.1254  0.8502    4.1792  3.8389
 6400      NaN     NaN    4.6412  1.8743    4.4967  3.8569    2.1251  0.8502    4.1793  3.8400
 6410      NaN     NaN    4.6547  1.8737    4.4859  3.8561    2.1247  0.8499    4.1805  3.8402
 6420      NaN     NaN    4.6683  1.8734    4.4749  3.8553    2.1252  0.8497    4.1819  3.8412
 6430      NaN     NaN    4.6821  1.8736    4.4634  3.8543    2.1250  0.8500    4.1824  3.8422
 6440      NaN     NaN    4.6948  1.8736    4.4517  3.8527    2.1248  0.8497    4.1831  3.8438
 6450      NaN     NaN    4.7082  1.8736    4.4406  3.8518    2.1251  0.8503    4.1841  3.8446
 6460      NaN     NaN    4.7214  1.8736    4.4293  3.8506    2.1246  0.8501    4.1853  3.8456
 6470      NaN     NaN    4.7348  1.8736    4.4178  3.8489    2.1255  0.8503    4.1859  3.8461
 6480      NaN     NaN    4.7471  1.8741    4.4063  3.8475    2.1245  0.8500    4.1867  3.8470
 6490      NaN     NaN    4.7600  1.8736    4.3949  3.8468    2.1249  0.8503    4.1881  3.8478
 6500      NaN     NaN    4.7736  1.8741    4.3833  3.8446    2.1247  0.8505    4.1886  3.8488
 6510      NaN     NaN    4.7861  1.8747    4.3717  3.8438    2.1250  0.8497    4.1897  3.8494
 6520      NaN     NaN    4.7987  1.8750    4.3597  3.8416    2.1247  0.8505    4.1907  3.8507
 6530      NaN     NaN    4.8117  1.8759    4.3477  3.8400    2.1249  0.8498    4.1914  3.8513
 6540      NaN     NaN    4.8244  1.8767    4.3369  3.8384    2.1246  0.8499    4.1923  3.8525
 6550      NaN     NaN    4.8372  1.8767    4.3244  3.8373    2.1251  0.8499    4.1936  3.8529
 6560      NaN     NaN    4.8497  1.8775    4.3128  3.8349    2.1255  0.8501    4.1940  3.8541
 6570      NaN     NaN    4.8612  1.8788    4.3007  3.8332    2.1252  0.8503    4.1953  3.8549
 6580      NaN     NaN    4.8737  1.8800    4.2890  3.8314    2.1254  0.8495    4.1960  3.8561
 6590      NaN     NaN    4.8861  1.8810    4.2774  3.8295    2.1249  0.8495    4.1968  3.8565
 6600      NaN     NaN    4.8985  1.8820    4.2658  3.8275    2.1253  0.8498    4.1969  3.8578
 6610      NaN     NaN    4.9106  1.8826    4.2538  3.8253    2.1254  0.8498    4.1987  3.8579
 6620      NaN     NaN    4.9223  1.8843    4.2419  3.8235    2.1252  0.8502    4.1990  3.8585
 6630      NaN     NaN    4.9351  1.8854    4.2299  3.8217    2.1252  0.8505    4.1999  3.8600
 6640      NaN     NaN    4.9461  1.8866    4.2177  3.8194    2.1254  0.8496    4.2002  3.8606
 6650      NaN     NaN    4.9585  1.8884    4.2051  3.8171    2.1252  0.8499    4.2014  3.8617
 6660      NaN     NaN    4.9698  1.8902    4.1929  3.8153    2.1247  0.8498    4.2022  3.8621
 6670      NaN     NaN    4.9814  1.8917    4.1811  3.8134    2.1250  0.8504    4.2030  3.8635
 6680      NaN     NaN    4.9933  1.8935    4.1694  3.8106    2.1246  0.8495    4.2042  3.8640
 6690      NaN     NaN    5.0049  1.8950    4.1570  3.8087    2.1250  0.8502    4.2047  3.8647
 6700      NaN     NaN    5.0163  1.8963    4.1450  3.8068    2.1251  0.8502    4.2058  3.8657
 6710      NaN     NaN    5.0279  1.8984    4.1328  3.8047    2.1250  0.8497    4.2059  3.8657
 6720      NaN     NaN    5.0393  1.9007    4.1209  3.8022    2.1253  0.8497    4.2066  3.8666
 6730      NaN     NaN    5.0511  1.9027    4.1085  3.8000    2.1250  0.8497    4.2078  3.8675
 6740      NaN     NaN    5.0624  1.9051    4.0960  3.7979    2.1252  0.8503    4.2084  3.8687
 6750      NaN     NaN    5.0729  1.9072    4.0838  3.7955    2.1249  0.8501    4.2090  3.8691
 6760      NaN     NaN    5.0842  1.9087    4.0715  3.7931    2.1254  0.8499    4.2100  3.8704
 6770      NaN     NaN    5.0954  1.9117    4.0599  3.7909    2.1254  0.8497    4.2109  3.8702
 6780      NaN     NaN    5.1064  1.9138    4.0475  3.7887    2.1254  0.8499    4.2112  3.8711
 6790      NaN     NaN    5.1176  1.9160    4.0351  3.7863    2.1251  0.8498    4.2123  3.8725
 6800      NaN     NaN    5.1286  1.9191    4.0230  3.7842    2.1248  0.8503    4.2129  3.8733
 6810      NaN     NaN       NaN     NaN    4.0111  3.7815    2.1250  0.8503    4.2132  3.8738
 6820      NaN     NaN       NaN     NaN    3.9980  3.7789    2.1254  0.8501    4.2138  3.8740
 6830      NaN     NaN       NaN     NaN    3.9863  3.7773    2.1249  0.8498    4.2152  3.8754
 6840      NaN     NaN       NaN     NaN    3.9737  3.7744    2.1249  0.8498    4.2162  3.8757
 6850      NaN     NaN       NaN     NaN    3.9611  3.7720    2.1252  0.8497    4.2161  3.8768
 6860      NaN     NaN       NaN     NaN    3.9495  3.7702    2.1248  0.8501    4.2168  3.8775
 6870      NaN     NaN       NaN     NaN    3.9367  3.7672    2.1247  0.8500    4.2181  3.8774
 6880      NaN     NaN       NaN     NaN    3.9246  3.7653    2.1245  0.8503    4.2188  3.8782
 6890      NaN     NaN       NaN     NaN    3.9123  3.7627    2.1247  0.8496    4.2189  3.8790
 6900      NaN     NaN       NaN     NaN    3.8995  3.7604    2.1254  0.8500    4.2196  3.8795
 6910      NaN     NaN       NaN     NaN    3.8866  3.7581    2.1250  0.8503    4.2207  3.8809
 6920      NaN     NaN       NaN     NaN    3.8743  3.7548    2.1254  0.8498    4.2215  3.8814
 6930      NaN     NaN       NaN     NaN    3.8623  3.7525    2.1255  0.8498    4.2216  3.8820
 6940      NaN     NaN       NaN     NaN    3.8493  3.7506    2.1253  0.8504    4.2225  3.8820
 6950      NaN     NaN       NaN     NaN    3.8373  3.7480    2.1247  0.8502    4.2231  3.8833
 6960      NaN     NaN       NaN     NaN    3.8249  3.7456    2.1248  0.8504    4.2242  3.8833
 6970      NaN     NaN       NaN     NaN    3.8126  3.7426    2.1246  0.8504    4.2247  3.8839
 6980      NaN     NaN       NaN     NaN    3.7998  3.7399    2.1247  0.8498    4.2251  3.8848
 6990      NaN     NaN       NaN     NaN    3.7876  3.7370    2.1250  0.8505    4.2259  3.8854
 7000      NaN     NaN       NaN     NaN    3.7749  3.7346    2.1254  0.8504    4.2261  3.8857
 7010      NaN     NaN       NaN     NaN    3.7618  3.7322    2.1254  0.8499    4.2269  3.8869
 7020      NaN     NaN       NaN     NaN    3.7500  3.7295    2.1249  0.8502    4.2276  3.8870
 7030      NaN     NaN       NaN     NaN    3.7365  3.7273    2.1248  0.8502    4.2278  3.8879
 7040      NaN     NaN       NaN     NaN    3.7243  3.7241    2.1247  0.8500    4.2281  3.8882
 7050      NaN     NaN       NaN     NaN    3.7120  3.7214    2.1250  0.8503    4.2290  3.8895
 7060      NaN     NaN       NaN     NaN    3.6991  3.7193    2.1248  0.8499    4.2296  3.8895
 7070      NaN     NaN       NaN     NaN    3.6863  3.7166    2.1247  0.8496    4.2299  3.8906
 7080      NaN     NaN       NaN     NaN    3.6742  3.7133    2.1251  0.8497    4.2307  3.8912
 7090      NaN     NaN       NaN     NaN    3.6608  3.7112    2.1252  0.8498    4.2315  3.8914
 7100      NaN     NaN       NaN     NaN    3.6485  3.7087    2.1246  0.8505    4.2319  3.8923
 7110      NaN     NaN       NaN     NaN    3.6357  3.7056    2.1246  0.8499    4.2327  3.8922
 7120      NaN     NaN       NaN     NaN    3.6235  3.7034    2.1252  0.8496    4.2327  3.8929
 7130      NaN     NaN       NaN     NaN    3.6112  3.6998    2.1253  0.8497    4.2332  3.8940
 7140      NaN     NaN       NaN     NaN    3.5980  3.6976    2.1247  0.8501    4.2340  3.8938
 7150      NaN     NaN       NaN     NaN    3.5852  3.6950    2.1249  0.8502    4.2348  3.8951
 7160      NaN     NaN       NaN     NaN    3.5722  3.6922    2.1248  0.8496    4.2348  3.8953
 7170      NaN     NaN       NaN     NaN    3.5598  3.6892    2.1254  0.8505    4.2357  3.8963
 7180      NaN     NaN       NaN     NaN    3.5468  3.6865    2.1255  0.8499    4.2362  3.8968
 7190      NaN     NaN       NaN     NaN    3.5341  3.6835    2.1247  0.8505    4.2369  3.8968
 7200      NaN     NaN       NaN     NaN    3.5219  3.6809    2.1247  0.8500    4.2372  3.8973
 7210      NaN     NaN       NaN     NaN    3.5094  3.6783    2.1251  0.8503    4.2374  3.8974
 7220      NaN     NaN       NaN     NaN    3.4963  3.6751    2.1253  0.8501    4.2383  3.8987
 7230      NaN     NaN       NaN     NaN    3.4837  3.6722    2.1252  0.8502    4.2386  3.8991
 7240      NaN     NaN       NaN     NaN    3.4704  3.6693    2.1249  0.8504    4.2391  3.8995
 7250      NaN     NaN       NaN     NaN    3.4582  3.6660    2.1251  0.8499    4.2395  3.8997
 7260      NaN     NaN       NaN     NaN    3.4453  3.6632    2.1254  0.8502    4.2408  3.8998
 7270      NaN     NaN       NaN     NaN    3.4329  3.6605    2.1247  0.8503    4.2410  3.9006
 7280      NaN     NaN       NaN     NaN    3.4201  3.6573    2.1248  0.8500    4.2413  3.9015
 7290      NaN     NaN       NaN     NaN    3.4067  3.6550    2.1252  0.8498    4.2420  3.9013
 7300      NaN     NaN       NaN     NaN    3.3945  3.6514    2.1246  0.8505    4.2416  3.9020
 7310      NaN     NaN       NaN     NaN    3.3812  3.6484    2.1248  0.8495    4.2430  3.9030
 7320      NaN     NaN       NaN     NaN    3.3681  3.6460    2.1253  0.8503    4.2426  3.9028
 7330      NaN     NaN       NaN     NaN    3.3560  3.6427    2.1245  0.8502    4.2435  3.9038
 7340      NaN     NaN       NaN     NaN    3.3424  3.6403    2.1248  0.8498    4.2436  3.9039
 7350      NaN     NaN       NaN     NaN    3.3302  3.6372    2.1252  0.8498    4.2442  3.9038
 7360      NaN     NaN       NaN     NaN    3.3176  3.6344    2.1247  0.8498    4.2448  3.9047
 7370      NaN     NaN       NaN     NaN    3.3044  3.6308    2.1253  0.8504    4.2447  3.9053
 7380      NaN     NaN       NaN     NaN    3.2916  3.6275    2.1248  0.8502    4.2457  3.9059
 7390      NaN     NaN       NaN     NaN    3.2783  3.6252    2.1251  0.8504    4.2463  3.9064
 7400      NaN     NaN       NaN     NaN    3.2659  3.6218    2.1254  0.8499    4.2460  3.9061
 7410      NaN     NaN       NaN     NaN    3.2529  3.6185    2.1247  0.8504    4.2467  3.9064
 7420      NaN     NaN       NaN     NaN    3.2402  3.6158    2.1251  0.8500    4.2474  3.9067
 7430      NaN     NaN       NaN     NaN    3.2272  3.6122    2.1246  0.8502    4.2471  3.9073
 7440      NaN     NaN       NaN     NaN    3.2145  3.6099    2.1249  0.8497    4.2483  3.9074
 7450      NaN     NaN       NaN     NaN    3.2011  3.6066    2.1249  0.8500    4.2485  3.9086
 7460      NaN     NaN       NaN     NaN    3.1882  3.6035    2.1253  0.8504    4.2491  3.9090
 7470      NaN     NaN       NaN     NaN    3.1753  3.6000    2.1246  0.8503    4.2486  3.9085
 7480      NaN     NaN       NaN     NaN    3.1631  3.5969    2.1255  0.8497    4.2491  3.9089
 7490      NaN     NaN       NaN     NaN    3.1496  3.5942    2.1254  0.8503    4.2502  3.9097
 7500      NaN     NaN       NaN     NaN    3.1371  3.5908    2.1252  0.8496    4.2503  3.9104
 7510      NaN     NaN       NaN     NaN    3.1240  3.5876    2.1245  0.8499    4.2505  3.9100
 7520      NaN     NaN       NaN     NaN    3.1110  3.5840    2.1247  0.8497    4.2506  3.9107
 7530      NaN     NaN       NaN     NaN    3.0989  3.5813    2.1255  0.8505    4.2512  3.9108
 7540      NaN     NaN       NaN     NaN    3.0857  3.5778    2.1247  0.8495    4.2511  3.9113
 7550      NaN     NaN       NaN     NaN    3.0724  3.5750    2.1253  0.8501    4.2514  3.9118
 7560      NaN     NaN       NaN     NaN    3.0600  3.5713    2.1249  0.8503    4.2523  3.9115
 7570      NaN     NaN       NaN     NaN    3.0464  3.5684    2.1246  0.8501    4.2525  3.9120
 7580      NaN     NaN       NaN     NaN    3.0340  3.5653    2.1248  0.8495    4.2525  3.9127
 7590      NaN     NaN       NaN     NaN    3.0210  3.5618    2.1252  0.8503    4.2532  3.9124
 7600      NaN     NaN       NaN     NaN    3.0079  3.5591    2.1250  0.8502    4.2533  3.9127
 7610      NaN     NaN       NaN     NaN    2.9952  3.5554    2.1254  0.8501    4.2535  3.9132
 7620      NaN     NaN       NaN     NaN    2.9826  3.5521    2.1252  0.8498    4.2537  3.9141
 7630      NaN     NaN       NaN     NaN    2.9695  3.5488    2.1246  0.8502    4.2535  3.9141
 7640      NaN     NaN       NaN     NaN    2.9568  3.5456    2.1254  0.8501    4.2542  3.9144
 7650      NaN     NaN       NaN     NaN    2.9437  3.5425    2.1253  0.8495    4.2549  3.9149
 7660      NaN     NaN       NaN     NaN    2.9305  3.5390    2.1255  0.8502    4.2552  3.9151
 7670      NaN     NaN       NaN     NaN    2.9179  3.5353    2.1249  0.8497    4.2553  3.9150
 7680      NaN     NaN       NaN     NaN    2.9049  3.5327    2.1245  0.8502    4.2551  3.9156
 7690      NaN     NaN       NaN     NaN    2.8919  3.5292    2.1245  0.8500    4.2559  3.9153
 7700      NaN     NaN       NaN     NaN    2.8789  3.5253    2.1247  0.8502    4.2558  3.9157
 7710      NaN     NaN       NaN     NaN    2.8665  3.5223    2.1247  0.8503    4.2561  3.9164
 7720      NaN     NaN       NaN     NaN    2.8531  3.5188    2.1248  0.8496    4.2559  3.9165
 7730      NaN     NaN       NaN     NaN    2.8402  3.5156    2.1248  0.8497    4.2569  3.9167
 7740      NaN     NaN       NaN     NaN    2.8280  3.5122    2.1247  0.8500    4.2570  3.9168
 7750      NaN     NaN       NaN     NaN    2.8148  3.5093    2.1249  0.8497    4.2569  3.9168
 7760      NaN     NaN       NaN     NaN    2.8021  3.5054    2.1252  0.8505    4.2572  3.9168
 7770      NaN     NaN       NaN     NaN    2.7889  3.5016    2.1253  0.8502    4.2573  3.9173
 7780      NaN     NaN       NaN     NaN    2.7755  3.4989    2.1255  0.8505    4.2573  3.9170
 7790      NaN     NaN       NaN     NaN    2.7632  3.4955    2.1249  0.8502    4.2574  3.9177
 7800      NaN     NaN       NaN     NaN    2.7502  3.4921    2.1247  0.8497    4.2580  3.9177
 7810      NaN     NaN       NaN     NaN    2.7369  3.4883    2.1250  0.8504    4.2584  3.9184
 7820      NaN     NaN       NaN     NaN    2.7240  3.4854    2.1246  0.8502    4.2581  3.9180
 7830      NaN     NaN       NaN     NaN    2.7114  3.4817    2.1251  0.8500    4.2581  3.9183
 7840      NaN     NaN       NaN     NaN    2.6991  3.4786    2.1254  0.8499    4.2586  3.9184
 7850      NaN     NaN       NaN     NaN    2.6856  3.4748    2.1253  0.8498    4.2590  3.9186
 7860      NaN     NaN       NaN     NaN    2.6730  3.4714    2.1248  0.8500    4.2589  3.9185
 7870      NaN     NaN       NaN     NaN    2.6604  3.4681    2.1246  0.8505    4.2592  3.9187
 7880      NaN     NaN       NaN     NaN    2.6469  3.4646    2.1252  0.8500    4.2587  3.9190
 7890      NaN     NaN       NaN     NaN    2.6340  3.4605    2.1253  0.8503    4.2586  3.9194
 7900      NaN     NaN       NaN     NaN    2.6216  3.4573    2.1253  0.8497    4.2594  3.9191
 7910      NaN     NaN       NaN     NaN    2.6083  3.4541    2.1253  0.8498    4.2589  3.9191
 7920      NaN     NaN       NaN     NaN    2.5956  3.4499    2.1247  0.8500    4.2592  3.9199
 7930      NaN     NaN       NaN     NaN    2.5833  3.4464    2.1246  0.8498    4.2594  3.9197
 7940      NaN     NaN       NaN     NaN    2.5704  3.4430    2.1249  0.8497    4.2601  3.9201
 7950      NaN     NaN       NaN     NaN    2.5571  3.4400    2.1251  0.8502    4.2602  3.9199
 7960      NaN     NaN       NaN     NaN    2.5446  3.4359    2.1255  0.8495    4.2595  3.9194
 7970      NaN     NaN       NaN     NaN    2.5312  3.4322    2.1254  0.8500    4.2604  3.9202
 7980      NaN     NaN       NaN     NaN    2.5190  3.4286    2.1254  0.8501    4.2603  3.9198
 7990      NaN     NaN       NaN     NaN    2.5058  3.4254    2.1247  0.8502    4.2604  3.9196
 8000      NaN     NaN       NaN     NaN    2.4935  3.4218    2.1251  0.8501    4.2600  3.9204
 8010      NaN     NaN       NaN     NaN    2.4800  3.4184    2.1255  0.8499    4.2603  3.9203
 8020      NaN     NaN       NaN     NaN    2.4680  3.4146    2.1249  0.8501    4.2605  3.9200
 8030      NaN     NaN       NaN     NaN    2.4552  3.4108    2.1247  0.8504    4.2599  3.9199
 8040      NaN     NaN       NaN     NaN    2.4425  3.4069    2.1252  0.8502    4.2606  3.9201
 8050      NaN     NaN       NaN     NaN    2.4294  3.4039    2.1251  0.8497    4.2609  3.9209
 8060      NaN     NaN       NaN     NaN    2.4164  3.4003    2.1254  0.8502    4.2601  3.9201
 8070      NaN     NaN       NaN     NaN    2.4039  3.3970    2.1246  0.8498    4.2605  3.9209
 8080      NaN     NaN       NaN     NaN    2.3913  3.3933    2.1254  0.8498    4.2609  3.9202
 8090      NaN     NaN       NaN     NaN    2.3784  3.3891    2.1249  0.8497    4.2605  3.9208
 8100      NaN     NaN       NaN     NaN    2.3656  3.3859    2.1245  0.8500    4.2607  3.9204
 8110      NaN     NaN       NaN     NaN    2.3532  3.3816    2.1251  0.8503    4.2610  3.9210
 8120      NaN     NaN       NaN     NaN    2.3406  3.3786    2.1248  0.8504    4.2604  3.9209
